"","target_id","test_stat","pval","qval","rss","sigma_sq","tech_var","mean_obs","var_obs","sigma_sq_pmax","smooth_sigma_sq","final_sigma_sq","degrees_free","ens_gene","ext_gene","coef","singlecoef"
"2829","ENST00000530207",12.3664304801439,0.000437122522103136,0.0118268758594568,0.235445791191552,0.0323407334813111,0.00690023171728083,5.10180893321985,0.0849016222665239,0.0323407334813111,0.0183771333893653,0.0323407334813111,1,"ENSG00000109920","FNBP4",0.423595068829961,0.330194620129966
"2830","ENST00000530398",25.393570959257,4.67473457055384e-07,0.000169140086078674,9.97290470946921,1.58574435912985,0.0764064257816874,4.70239408336063,1.44159256189553,1.58574435912985,0.0281535892307924,1.58574435912985,1,"ENSG00000177600","RPLP2",-0.243149361298295,2.19577371568096
"2831","ENST00000530721",16.3284541229794,5.32582266123529e-05,0.00301709375422597,0.400673928608456,0.0564481582416054,0.0103308298598039,6.73228478549736,0.0739967942890196,0.0564481582416054,0.00738854463835384,0.0564481582416054,1,"ENSG00000149273","RPS3",-0.242181369447241,0.422186760712259
"2832","ENST00000530742",12.5474161225686,0.00039675453484708,0.0109992872135542,41.9871774158405,5.73485725930489,1.2630056433352,2.86707124748217,6.16488570546397,5.73485725930489,0.461333483456709,5.73485725930489,1,"ENSG00000113282","CLINT1",0.763879088078482,4.1188872691093
"2833","ENST00000530758",9.56263100859021,0.00198578295085551,0.0335377427907859,0.0234955686970652,0.00208523896350436,0.00183068915267318,6.29893623526784,0.0205022095998543,0.00208523896350436,0.0083190001143025,0.0083190001143025,1,"ENSG00000254999","BRK1",-0.244969282259954,0.0920491488549406
"2834","ENST00000530820",11.7129926484054,0.000620652254763073,0.0151391765399816,0.177154802816112,0.0236073784207158,0.00591842204863624,6.0429371162443,0.0261144882223708,0.0236073784207158,0.00934095555110336,0.0236073784207158,1,"ENSG00000135387","CAPRIN1",0.0531348037565012,0.263207949755583
"2835","ENST00000530835",8.76993833333549,0.0030623580184129,0.0450974523513693,11.6879338717465,1.81114450448755,0.136844474136877,1.40910587326849,1.70145076743042,1.81114450448755,1.11934284591707,1.81114450448755,1,"ENSG00000214391","TUBAP2",-0.333332791866004,2.17947319948846
"2836","ENST00000530975",16.3072424625865,5.38577137345985e-05,0.00303371933194354,30.7115471792826,4.7326010254694,0.385990171077698,1.26041857366392,4.39809728443664,4.7326010254694,1.17243668135685,4.7326010254694,1,"ENSG00000116871","MAP7D1",0.193821840582975,-3.90713150844774
"2837","ENST00000530981",8.97207460812178,0.00274137146648603,0.0417600006829274,42.2169532781052,6.07176192892625,0.964396950757944,2.24902204715771,6.12702656152246,6.07176192892625,0.768153005232748,6.07176192892625,1,"ENSG00000087365","SF3B2",-0.579755402110257,3.82291812853327
"2838","ENST00000531180",14.8357656044924,0.000117289930573036,0.00485661576628185,43.9727482747215,6.6177302232045,0.711061155915752,2.29415730107979,6.5449937431638,6.6177302232045,0.750045088210299,6.6177302232045,1,"ENSG00000110321","EIF4G2",-0.959741612994119,4.33612420862738
"2839","ENST00000531196",16.8600500393985,4.02396852896241e-05,0.002544184898114,34.3685868672247,5.43184583255252,0.296251978651598,1.33187232356001,4.9341818357438,5.43184583255252,1.14730010552271,5.43184583255252,1,"ENSG00000077782","FGFR1",-0.292135228089545,-4.05003900823991
"2840","ENST00000531290",16.4975270889204,4.87135680722185e-05,0.00288148312144606,28.3337223223193,4.52501691039838,0.197270143321508,1.18128492806575,4.05129353418833,4.52501691039838,1.19979277951691,4.52501691039838,1,"ENSG00000196655","TRAPPC4",-0.112544251294727,-3.74886421725139
"2841","ENST00000531641",12.6625863842548,0.000373045799641042,0.0105697553171109,27.490467506793,4.01018485243707,0.571559732028433,1.64350301974471,4.09212350625462,4.01018485243707,1.02729794161674,4.01018485243707,1,"ENSG00000158636","EMSY",-0.759735821516054,-3.43022304336705
"2842","ENST00000531978",26.2872440223339,2.94225596908187e-07,0.00012906609392161,7.66191346632877,1.21780574175204,0.059179835969422,4.50378317062433,1.09882209994306,1.21780574175204,0.0360475461808025,1.21780574175204,1,"ENSG00000166441","RPL27A",0.12214997599802,-1.94481012964779
"2843","ENST00000531989",15.6721786476691,7.53240467764949e-05,0.00370778319231785,44.4894735412019,6.08149296809555,1.33341928877143,1.66625397421037,6.41702754779524,6.08149296809555,1.01789698521363,6.08149296809555,1,"ENSG00000133884","DPF2",0.463529553192027,4.69062742623766
"2844","ENST00000532004",14.6663214845574,0.000128318674873367,0.00513367909184658,7.89309000753981,1.03116169986158,0.284353301395059,3.66676607039453,1.15767920060148,1.03116169986158,0.14848274967633,1.03116169986158,1,"ENSG00000177600","RPLP2",-0.324549223285591,1.9634816936816
